feature,importance
fatalities_per_vehicle,0.6297287092995933
is_high_fatalities,0.22669798097829433
number_of_vehicles,0.09154824795041211
is_high_severity_vehicle,0.009737698222802833
road_conditions_Wet,0.005646978593778327
conditions_risk_Icy_clear,0.004288163965988936
track_Ruta-Del-Sol,0.003595025755155724
vehicle_make_Volkswagen,0.0019115064740133966
week_of_year,0.001778300089424298
road_conditions_WET,0.0011888338980172992
age_squared,0.0011184335124842112
accident_severity_CRITICAL,0.0011114574776820618
conditions_risk_wet_windy,0.0009664419826395383
weather_conditions_Storm,0.0009580455333776184
day_of_month,0.000957603988609734
conditions_risk_DRY_rain,0.0007634642236007154
driver_age,0.0007350743836888953
vehicle_model_Model E,0.0007263628400412153
weather_conditions_snow,0.0007244776261620257
conditions_risk_muddy_storm,0.0007155776533058393
vehicle_model_Model C,0.0005859325627134097
driver_gender_Other,0.000536731857053353
age_group_Senior,0.00048253625140751556
conditions_risk_icy_windy,0.0004694273222190871
track_Route-1,0.0004451699104078339
vehicle_model_Model A,0.00037228318317890195
conditions_risk_dry_windy,0.00036625940566506444
conditions_risk_wet_sunny,0.0003509618216200984
conditions_risk_Muddy_windy,0.0003486175815077769
month,0.00033619905830260376
vehicle_make_BMW,0.00032232785977382903
accident_severity_minor,0.00032000840456058814
age_group_Middle-aged,0.00030794175385318284
conditions_risk_WET_clear,0.0003014277532308777
conditions_risk_Wet_Fog,0.00027989950373015206
conditions_risk_Wet_Cloudy,0.00026743053366802143
conditions_risk_wet_rain,0.0002602056656837406
quarter,0.0002576908198839155
season_Summer,0.0002490528552791632
conditions_risk_icy_Sunny,0.0002442727406150683
is_month_start,0.00023588550389696503
road_conditions_Muddy,0.00022561959018966958
vehicle_model_Model F,0.00022383619606681588
track_Bypass-Norte,0.00021253824646925664
weather_conditions_clear,0.00020848961125864902
vehicle_model_Model D,0.00019633116264628202
weather_conditions_windy,0.00019103260775139855
track_Autopista-1,0.00018200264885265055
accident_severity_critical,0.00017299691105730232
driver_gender_Female,0.0001682995195650023
